numero,nom,rarete,type,scan_fr
001/086,Aspicot,Commune,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_001_R_FR_LG.png
002/086,Coconfort,Commune,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_002_R_FR_LG.png
003/086,Dardargnan-ex,Double rare,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_003_R_FR_LG.png
004/086,Vortente,Commune,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_004_R_FR_LG.png
005/086,Marisson,Commune,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_005_R_FR_LG.png
006/086,Boguerisse,Commune,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_006_R_FR_LG.png
007/086,Blindepique,Rare,Plante,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_007_R_FR_LG.png
008/086,Goupix,Commune,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_008_R_FR_LG.png
009/086,Feunard,Peu commune,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_009_R_FR_LG.png
010/086,Ho-Oh,Rare,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_010_R_FR_LG.png
011/086,Feunnec,Commune,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_011_R_FR_LG.png
012/086,Roussil,Commune,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_012_R_FR_LG.png
013/086,Goupelin,Peu commune,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_013_R_FR_LG.png
014/086,Helionceau,Commune,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_014_R_FR_LG.png
015/086,Mega-Nemelios-ex,Double rare,Feu,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_015_R_FR_LG.png
016/086,Remoraid,Commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_016_R_FR_LG.png
017/086,Octillery,Commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_017_R_FR_LG.png
018/086,Cadoizo,Peu commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_018_R_FR_LG.png
019/086,Keldeo,Rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_019_R_FR_LG.png
020/086,Grenousse,Commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_020_R_FR_LG.png
021/086,Croaporal,Commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_021_R_FR_LG.png
022/086,Mega-Amphinobi-ex,Double rare,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_022_R_FR_LG.png
023/086,Grelacon,Commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_023_R_FR_LG.png
024/086,Seracrawl,Peu commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_024_R_FR_LG.png
025/086,Sovkipou,Commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_025_R_FR_LG.png
026/086,Sarmurai,Peu commune,Eau,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_026_R_FR_LG.png
027/086,Wattouat,Commune,Electrique,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_027_R_FR_LG.png
028/086,Lainergie,Commune,Electrique,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_028_R_FR_LG.png
